Flood_ID,ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages
31,COL,Colombia,Latin America and the Caribbean,Americas,"El Carmen de Bolivar Municipality (Bolivar department); Valle Del Guamuez, Santiago, Orito municipalities (Putamayo Department)",Alférez River,2021-04-11,2021-04-16,5,spa,Spanish
32,COL,Colombia,Latin America and the Caribbean,Americas,Barbacoas Municipality (Nariño Department),Telembí river,2021-04-27,2021-04-29,2,spa,Spanish
33,GTM,Guatemala,Latin America and the Caribbean,Americas,Uspantán and Chicamán Municipalities (Quiché Department); Sacatepéquez Department,La Taña River,2021-04-18,2021-04-26,8,spa,Spanish
34,COL,Colombia,Latin America and the Caribbean,Americas,"San Luis, El Retiro, San Francisco, Campamento, Cocorná, Cisneros, Santo Domingo and Liborina Municipalities (Antioquia Department)",,2021-06-04,2021-06-04,0,spa,Spanish
35,SLV,El Salvador,Latin America and the Caribbean,Americas,"Sonsonate, Tecoluca, Jiquilisco, Puerto El Triunfo, Chalatenango, Ahuachapan",,2021-09-10,2021-09-14,4,spa,Spanish
36,MEX,Mexico,Latin America and the Caribbean,Americas,"Tlayacapan, Ayala, Cuautla, Yautepec, Jonacatepec, Jantetelco, Yecapixtla and Tepalcingo (Morelos State)",,2021-09-03,2021-09-04,1,spa,Spanish
37,MEX,Mexico,Latin America and the Caribbean,Americas,"Santiago de Querétaro, San Juan del Río, Tequisquiapan municipalities (Querétaro State)",San Juan River,2021-10-01,2021-10-06,5,spa,Spanish
38,COL,Colombia,Latin America and the Caribbean,Americas,El Santuario Municipality; Medellin city area (Antioquia Department),,2021-11-30,2021-12-06,6,spa,Spanish
39,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,2022-02-10,2022-02-11,1,spa,Spanish
40,COL,Colombia,Latin America and the Caribbean,Americas,"Suarez, Caloto, La Vega, Jambaló and Santander de Quilichao muncipalities (Cauca)",,2023-03-28,2023-03-31,3,spa,Spanish
41,USA,United States of America,Northern America,Americas,"Pembroke Pines, Dania Beach and Fort Lauderdale (Broward County, Hollywood, Florida)",,2023-04-12,2023-04-14,2,eng,English
42,CAN,Canada,Northern America,Americas,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec).",,2023-05-01,2023-05-04,3,"eng, fra","English, French"
43,USA,United States of America,Northern America,Americas,"Vermont, New York, Connecticut, Pennsylvania, Massachusetts, New Jersey, New Hampshire, Missouri, Illinois, Kentucky,Tennessee",,2023-07-09,2023-07-18,9,eng,English
44,CAN,Canada,Northern America,Americas,"East and West Hants Regional Municipality, Halifax Regional Municipality, Lunenburg and Queens counties in southern Nova Scotia",,2023-07-21,2023-07-22,1,"eng, fra","English, French"
45,MEX,Mexico,Latin America and the Caribbean,Americas,Autlan (Jalisco state),El Cangrejo river,2023-09-25,2023-09-25,0,spa,Spanish
46,USA,United States of America,Northern America,Americas,"New York city; New Jersey, Connecticut, Texas, Oklahoma, and Arkansas",,2023-09-29,2023-10-04,5,eng,English
47,DOM,Dominican Republic,Latin America and the Caribbean,Americas,"Azua, Barahona, Distrito Nacional, Duarte, Monte Plata, San Cristobal, San Pedro de Macoris, Santo Domingo, San José de Ocoa, Bahoruco, San Juan de la Maguana, Sánchez Ramírez, Peravia",,2023-11-17,2023-11-18,1,spa,Spanish
48,USA,United States of America,Northern America,Americas,Portland City area (Oregon State); Snohomish and Wahkiakum Counties (Washington State),,2023-12-04,2023-12-06,2,eng,English
49,BRA,Brazil,Latin America and the Caribbean,Americas,"Belford Roxo, Duque de Caxias, Nova Iguaçu, Japeri, São João de Meriti, São Gonçalo, Mesquita, Nilópolis, Nova Iguaçu, and Queimados Municipalities (Rio de Janeiro); São Paulo, Santa Catarina, Paraná and Rio Grande do Sul",,2024-01-08,2024-01-16,8,por,Portuguese
50,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,Tipuani municipality (La Paz department),,2024-01-19,2024-01-19,0,spa,Spanish
51,BRA,Brazil,Latin America and the Caribbean,Americas,"Dário Meira, Cotegipe, Ilhéus, Medeiros Neto, Ibicuí, Anagé, Muquém de São Francisco, Iguaí, Quijingue, Wanderley, Jaguaquara, Ubaíra, Saubara and Milagres municipalities (Bahia state)",,2024-01-26,2024-01-30,4,por,Portuguese
52,ECU,Ecuador,Latin America and the Caribbean,Americas,"Muisne (Esmeraldas); Puerto López, Chone, and Tosagu (Manabí); Alfredo Baquerizo Moreno (Jujan); Balzar, Palestina, Santa Lucía, Playas, and Milagro (Guayas); Baba and Valenc (Los Rios); El Oro Province",,2024-01-29,2024-02-27,29,spa,Spanish
53,BRA,Brazil,Latin America and the Caribbean,Americas,"Barra do Piraí, Japeri, Nova Iguaçu Municipalities (Rio de Janeiro State);",,2024-02-21,2024-02-23,2,por,Portuguese
54,PER,Peru,Latin America and the Caribbean,Americas,Contralmirante Villar and Tumbes Provinces (Tumbes Region); Tahuamanu Province,Acre and Yaverija Rivers,2024-02-19,2024-02-21,2,spa,Spanish
55,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Catachila Alta, Laquina and Chinata Communities (Cochabamba Department)",,2024-02-25,2024-02-27,2,spa,Spanish
56,BRA,Brazil,Latin America and the Caribbean,Americas,Macapá Municipality (Amapá State),,2024-02-13,2024-02-16,3,por,Portuguese
57,ARG,Argentina,Latin America and the Caribbean,Americas,Corrientes,,2024-03-03,2024-03-03,0,spa,Spanish
